"","site.animal.healthSH","site.animal.healthSH.1","site.animal.healthSH.2","site.animal.healthSH.3","site.animal.healthSH.4","site.animal.healthSH.5"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__",0.340817847509196,0.331524592767327,1.02803187137429,0.30393483581357,0.46419138560618,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__",0.521462735361987,0.396584604296622,1.31488396098191,0.188548903930639,0.328322271107963,FALSE
"k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;__",-0.0451513840201242,0.252428398392026,-0.178868084208193,0.85804128371001,0.91183938699454,FALSE
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae",-0.500989577179675,0.380851365512116,-1.31544645115297,0.188359902883096,0.328322271107963,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae",0.128284703833358,0.296597057948277,0.43252183524939,0.665362185847799,0.755275994746151,FALSE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae",-0.171178591200452,0.203828743988761,-0.839815758320575,0,0,TRUE
"k__Bacteria;p__Proteobacteria;__;__;__",0.235296574853679,0.26249041436204,0.896400637812037,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9",0.120684148237967,0.306163428015996,0.394182117113155,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__",0.101804951675484,0.25786014839204,0.394806845145781,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae",-0.106529333849714,0.202059184009215,-0.527218470034283,0,0,TRUE
"k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae",0.0011803291715104,0.234960011444113,0.00502353215024058,0,0,TRUE
